 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1565,041172025_PRAS_DF4x_10x_Q4.jpg (red),61,1962.943,1743.123,0.648,2.270,0.440,0.847
1566,041172025_PRAS_DF4x_10x_Q4.jpg (red),96,380.552,1744.406,0.973,1.057,0.946,0.928
1567,041172025_PRAS_DF4x_10x_Q4.jpg (red),57,1351.430,1743.009,0.943,1.270,0.788,0.905
1568,041172025_PRAS_DF4x_10x_Q4.jpg (red),47,1854.691,1745.947,0.947,1.222,0.818,0.913
1569,041172025_PRAS_DF4x_10x_Q4.jpg (red),20,1568.500,1746.650,0.605,2.231,0.448,0.690
1570,041172025_PRAS_DF4x_10x_Q4.jpg (red),257,2033.002,1752.267,0.502,1.319,0.758,0.753
1571,041172025_PRAS_DF4x_10x_Q4.jpg (red),5,2180.300,1744.900,1.000,1.553,0.644,0.909
1572,041172025_PRAS_DF4x_10x_Q4.jpg (red),6,2194.000,1744.833,0.916,1.809,0.553,0.857
1573,041172025_PRAS_DF4x_10x_Q4.jpg (red),214,2234.136,1750.916,0.390,1.188,0.842,0.684
1574,041172025_PRAS_DF4x_10x_Q4.jpg (red),73,681.240,1750.048,0.942,1.195,0.837,0.901
1575,041172025_PRAS_DF4x_10x_Q4.jpg (red),33,1636.561,1748.045,0.570,1.778,0.562,0.710
1576,041172025_PRAS_DF4x_10x_Q4.jpg (red),7,2149.071,1746.500,0.800,1.527,0.655,0.737
1577,041172025_PRAS_DF4x_10x_Q4.jpg (red),22,1391.864,1749.000,0.897,1.131,0.885,0.800
1578,041172025_PRAS_DF4x_10x_Q4.jpg (red),12,2141.000,1747.000,0.809,3.000,0.333,1.000
1579,041172025_PRAS_DF4x_10x_Q4.jpg (red),5,1091.700,1748.100,1.000,1.553,0.644,0.909
1580,041172025_PRAS_DF4x_10x_Q4.jpg (red),11,1955.773,1748.955,0.809,2.858,0.350,0.957
1581,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,407.143,1751.214,1.000,1.239,0.807,0.933
1582,041172025_PRAS_DF4x_10x_Q4.jpg (red),90,1579.722,1753.789,0.817,1.398,0.716,0.900
1583,041172025_PRAS_DF4x_10x_Q4.jpg (red),96,1619.760,1756.240,0.702,1.354,0.738,0.831
1584,041172025_PRAS_DF4x_10x_Q4.jpg (red),6,217.167,1753.167,0.916,1.593,0.628,0.857
