1392,1473
1344,1482
1329,1503
1302,1515
1293,1506
1371,1554
1344,1584
1326,1551
1329,1560
1320,1581
1305,1557
1236,1536
1335,1584
1335,1626
1374,1659
1365,1674
1386,1725
1425,1713
1398,1737
1347,1746
1338,1728
1308,1716
1320,1635
1290,1617
1266,1617
1278,1662
1257,1656
1260,1680
1245,1713
1248,1737
1260,1740
1266,1719
1386,1761
1392,1782
1404,1785
1380,1782
1515,1770
1185,1734
1197,1713
1218,1704
1269,1377
1293,1389
1275,1407
1239,1410
1242,1455
1239,1467
1218,1452
1203,1506
1176,1476
1182,1647
1158,1656
1146,1665
1146,1632
1146,1602
1140,1548
1152,1413
1659,1869
1704,1938
1638,1920
1635,1947
1692,2001
1677,2004
1674,2028
1641,2043
1638,2052
1698,2091
1683,2118
1686,2151
1668,2226
1674,2220
1653,2199
1653,2253
1614,2250
1599,2271
1572,2292
1584,2244
1632,2190
1602,2184
1584,2181
1575,2181
1542,2151
1521,2187
1539,2235
1542,2280
1470,2301
1473,2289
1461,2262
1440,2256
1428,2274
1494,2238
1479,2223
1482,2196
1470,2172
1506,2166
1509,2154
1581,2106
1617,2070
1602,2067
1596,2013
1566,2016
1572,1986
1524,2088
1488,2115
1491,2082
1467,2061
1497,2043
1494,2028
1503,2013
1542,1947
1512,1938
1572,1923
1581,1887
1566,1872
1536,1893
1596,1845
1554,1836
1572,1821
1542,1821
1593,1794
1479,1830
1470,1845
1440,1833
1446,1854
1458,1875
1449,1908
1425,1932
1395,1938
1386,1962
1410,1974
1344,1794
1320,1794
1308,1794
1296,1779
1218,1818
1200,1779
1176,1794
1146,1809
1128,1803
1116,1794
1095,1776
1098,1764
1080,1740
1434,2157
1428,2187
1413,2175
1383,2178
1377,2160
1389,2229
1356,2226
1371,2271
1374,2283
1317,2265
1287,2265
1275,2289
1191,2277
1173,2286
1176,2253
1224,2238
1251,2214
1266,2202
1275,2175
1305,2148
1326,2124
1377,2106
1386,2043
1344,2067
1350,2022
1347,2007
1329,2013
1272,2100
1215,2181
1164,2190
1155,2169
1158,2151
1176,2145
1167,2100
1236,2055
1221,2037
1269,2061
1281,2022
1260,2004
1290,2004
1308,1989
1317,1971
1302,1956
1296,1944
1338,1914
1311,1887
1299,1893
1263,1938
1248,1935
1257,1923
1230,1965
1173,1986
1212,1950
1152,1974
1164,1932
1164,1899
1218,1905
1203,1893
1221,1875
1143,2268
1050,1743
1056,1683
1125,1620
1095,1614
1077,1629
1113,1560
1104,1485
1128,1425
1074,1422
1062,1416
1065,1395
1104,1374
1068,1356
1047,1356
1101,1323
1119,1305
1110,1296
1104,1224
1050,1218
1011,1314
915,1191
921,1233
921,1260
897,1254
897,1227
882,1248
870,1251
858,1227
840,1209
789,1200
894,1293
870,1305
855,1308
834,1296
828,1311
825,1338
828,1368
807,1380
831,1401
822,1410
864,1422
924,1437
912,1452
915,1482
933,1365
915,1368
999,1431
969,1452
975,1500
987,1509
966,1521
1065,1533
1044,1554
1008,1605
1005,1617
1011,1647
969,1554
981,1542
972,1683
939,1689
906,1698
909,1713
918,1641
894,1626
894,1587
819,1632
813,1650
789,1674
759,1719
768,1752
792,1758
816,1764
687,1773
699,1761
678,1749
657,1734
663,1716
678,1710
726,1713
732,1698
717,1683
765,1641
744,1629
720,1614
711,1590
723,1590
756,1575
771,1596
834,1557
861,1479
834,1485
798,1527
789,1533
774,1527
756,1506
741,1506
771,1461
786,1440
792,1431
762,1230
741,1188
765,1290
732,1278
705,1245
735,1332
699,1317
642,1260
624,1296
606,1284
600,1251
597,1224
573,1236
540,1239
570,1299
585,1335
564,1326
546,1320
615,1368
633,1374
600,1386
594,1383
657,1407
738,1383
762,1383
711,1419
717,1440
714,1479
645,1431
651,1452
591,1422
603,1446
570,1449
552,1437
549,1479
612,1512
648,1530
669,1542
636,1545
669,1581
642,1611
600,1605
669,1668
645,1680
609,1725
549,1710
513,1269
468,1233
426,1260
444,1284
459,1293
462,1341
498,1347
498,1383
513,1446
426,1362
432,1329
396,1296
369,1275
369,1326
357,1368
393,1377
396,1377
339,1233
315,1275
243,1269
183,1221
45,1233
42,1272
123,1269
141,1275
144,1302
102,1308
111,1326
138,1320
129,1353
285,1311
279,1353
321,1365
327,1401
378,1449
417,1449
450,1470
438,1497
378,1479
408,1515
447,1551
465,1557
447,1599
408,1572
480,1617
477,1665
453,1674
462,1728
468,1743
450,1752
405,1755
390,1758
363,1740
363,1728
345,1752
354,1770
543,1530
309,1728
309,1710
303,1695
345,1689
369,1626
312,1644
306,1578
354,1551
297,1545
252,1572
252,1596
318,1491
312,1461
279,1473
261,1482
219,1452
201,1452
189,1473
162,1482
234,1380
216,1374
183,1395
171,1401
162,1410
147,1398
135,1410
168,1422
66,1392
87,1425
12,1446
33,1485
57,1515
78,1554
9,1566
45,1569
51,1590
66,1596
159,1563
192,1563
264,1647
270,1659
249,1707
225,1755
267,1761
183,1734
195,1659
162,1659
162,1677
153,1695
144,1734
138,1632
117,1701
90,1728
72,1695
63,1704
1005,1764
1050,1809
1095,1830
1080,1851
1101,1863
1137,1887
1143,1905
1008,1827
1020,1848
990,1860
1014,1890
1035,1929
1020,1956
1035,1962
1062,1971
1068,2040
1086,2097
1086,2115
1065,2118
1080,2157
1095,2292
1065,2289
1071,2265
966,2310
945,2298
978,2295
978,2289
942,2283
1005,2241
963,2196
984,2136
999,2028
927,2238
921,2226
903,2238
870,2241
864,2244
837,2262
786,2295
915,2196
897,2163
840,2214
846,2175
864,2157
864,2142
870,2142
840,2160
813,2139
963,2076
930,2079
909,2076
894,2049
951,2037
921,2007
945,1998
960,1992
975,1920
963,1872
939,1884
942,1860
921,1854
903,1839
915,1812
963,1803
885,1797
858,1797
873,1875
909,1896
921,1899
885,1980
876,1953
834,2082
792,2031
804,2019
795,1950
744,1908
753,1872
765,1827
681,1917
651,1902
633,1920
630,1947
594,1815
687,1974
717,1965
699,1995
729,2001
738,2037
690,2094
732,2094
735,2109
735,2130
669,2112
615,2130
651,2055
639,2040
612,2034
720,2217
720,2157
660,2190
780,2247
750,2256
741,2265
735,2289
648,2283
594,2286
564,2238
567,2133
570,2118
585,2103
570,2013
570,1983
588,1962
573,1875
564,1860
573,1821
546,2037
543,2022
519,2007
549,1995
540,1947
525,1845
510,1839
489,1824
519,1812
513,1797
504,1776
480,1857
438,1845
417,1815
459,1932
423,1902
441,1998
423,1980
507,2052
525,2079
489,2082
504,2097
552,2166
534,2193
513,2175
501,2175
501,2256
510,2289
480,2283
402,2292
426,2283
369,2283
357,2277
348,2268
396,2223
423,2211
441,2172
396,2178
432,2115
447,2061
405,2013
387,2013
381,2067
363,2088
345,2079
318,2079
291,2091
294,2061
276,2079
246,2118
252,2130
261,2157
360,2154
345,2241
315,2271
258,2259
285,2241
288,2235
300,2211
282,2211
264,2220
213,2181
201,2181
210,2223
213,2253
168,2238
132,2262
108,2301
72,2238
21,2220
120,2175
117,2136
171,2073
351,1800
354,1812
327,1794
321,1812
300,1821
282,1821
267,1803
255,1782
132,1758
129,1773
111,1809
117,1839
63,1755
66,1794
12,1797
255,1866
270,1878
285,1896
246,1914
231,1926
192,1869
165,1905
93,1902
63,1884
27,1869
45,1914
60,1917
219,1968
219,1983
231,1995
234,2022
204,1986
192,1992
195,2013
171,2037
132,2028
114,2016
126,1977
102,1977
42,1971
84,2049
105,2061
117,2067
81,2088
45,2109
18,2091
24,2061
